customer_id,email,first_name,last_name,consent_date,legal_basis,consent_given,withdrawal_date,channel,marketing_opt_in,country,gdpr_version
CUST-000000,customer0@gmail.com,Alice,Smith,2023-01-01,legitimate_interest,true,,in-store,false,CA,v1.2
CUST-000001,customer1@outlook.com,Grace,García,2023-01-01,legitimate_interest,true,,email,true,AU,v1.2
CUST-000002,customer2@company.com,Frank,Singh,2023-01-02,contract,true,,in-store,false,SG,v1.3
CUST-000003,customer3@gmail.com,David,Chen,2023-01-02,consent,true,,in-store,false,FR,v2.0
CUST-000004,customer4@outlook.com,David,Patel,2023-01-03,consent,true,,email,true,US,v2.0
CUST-000005,customer5@company.com,Grace,Kim,2023-01-03,legitimate_interest,true,,mobile,true,DE,v2.0
CUST-000006,customer6@gmail.com,Alice,Müller,2023-01-04,consent,false,,email,true,IN,v1.3
CUST-000007,customer7@outlook.com,Frank,Jones,2023-01-04,legitimate_interest,true,,mobile,false,AU,v2.0
CUST-000008,customer8@company.com,Bob,Patel,2023-01-05,consent,true,,email,false,IN,v2.0
CUST-000009,customer9@gmail.com,Alice,Jones,2023-01-05,consent,true,,in-store,false,SG,v1.2
CUST-000010,customer10@outlook.com,Eva,Singh,2023-01-06,consent,true,,mobile,true,IN,v2.0
CUST-000011,customer11@company.com,Henry,García,2023-01-06,legitimate_interest,true,,email,true,AU,v1.2
CUST-000012,customer12@gmail.com,Frank,Chen,2023-01-07,consent,true,,web,true,US,v1.3
CUST-000013,customer13@outlook.com,Grace,Chen,2023-01-07,consent,false,,email,true,SG,v2.0
CUST-000014,customer14@company.com,Frank,Singh,2023-01-08,consent,true,,mobile,true,SG,v1.3
CUST-000015,customer15@gmail.com,Grace,Smith,2023-01-08,consent,true,,mobile,true,FR,v2.0
CUST-000016,customer16@outlook.com,Eva,Singh,2023-01-09,consent,true,,email,false,IN,v1.2
CUST-000017,@nodomain.com,Bob,Smith,2023-01-09,legitimate_interest,true,,web,true,US,v1.3
CUST-000018,customer18@gmail.com,Grace,Kim,2023-01-10,consent,true,,email,true,CA,v2.0
CUST-000019,customer19@outlook.com,David,Müller,2023-01-10,legitimate_interest,true,,email,false,DE,v1.3
CUST-000020,customer20@company.com,Eva,Patel,2023-01-11,legitimate_interest,false,,mobile,true,SG,v2.0
CUST-000021,customer21@gmail.com,Carol,Jones,2023-01-11,consent,true,,web,false,CA,v1.3
CUST-000022,customer22@outlook.com,Bob,Jones,2023-01-12,consent,false,,mobile,false,AU,v2.0
CUST-000023,customer23@company.com,Henry,Chen,2023-01-12,consent,true,,web,false,SG,v1.3
,customer24@gmail.com,Grace,Patel,2023-01-13,consent,true,,mobile,false,FR,v2.0
CUST-000025,customer25@outlook.com,Frank,Patel,2023-01-13,consent,true,,email,true,DE,v1.2
CUST-000026,customer26@company.com,David,Singh,2023-01-14,contract,false,,web,false,US,v1.2
CUST-000027,customer27@gmail.com,Grace,Jones,2023-01-14,contract,true,,email,true,US,v1.2
CUST-000028,customer28@outlook.com,Eva,Singh,2023-01-15,legitimate_interest,true,,web,true,DE,v2.0
CUST-000029,customer29@company.com,David,Singh,2023-01-15,consent,true,,in-store,true,AU,v1.2
CUST-000030,customer30@gmail.com,David,Müller,2023-01-16,consent,true,,email,true,US,v1.2
CUST-000031,customer31@outlook.com,Bob,Jones,2023-01-16,legitimate_interest,true,,mobile,false,GB,v2.0
CUST-000032,customer32@company.com,Alice,Jones,2023-01-17,consent,true,,email,true,CA,v1.3
CUST-000033,customer33@gmail.com,Eva,Patel,2023-01-17,consent,false,,web,true,FR,v1.2
CUST-000034,customer34@outlook.com,Henry,Müller,2023-01-18,consent,true,,web,true,US,v1.2
CUST-000035,customer35@company.com,Alice,Jones,2023-01-18,consent,true,,in-store,false,AU,v1.2
CUST-000036,customer36@gmail.com,Grace,Kim,2023-01-19,consent,true,,in-store,true,US,v2.0
CUST-000037,customer37@outlook.com,Grace,Smith,2023-01-19,consent,true,,web,false,CA,v1.3
CUST-000038,customer38@company.com,Carol,Müller,2023-01-20,consent,true,,mobile,false,FR,v2.0
CUST-000039,missing@,Frank,Smith,2023-01-20,legitimate_interest,true,,web,true,FR,v1.2
CUST-000040,customer40@outlook.com,Bob,García,2023-01-21,contract,true,,mobile,false,AU,v1.3
CUST-000041,customer41@company.com,Grace,Smith,2023-01-21,consent,true,,mobile,true,CA,v1.2
CUST-000042,customer42@gmail.com,Frank,Jones,2023-01-22,legitimate_interest,true,,mobile,true,SG,v1.3
CUST-000043,customer43@outlook.com,Carol,Jones,2023-01-22,contract,true,,email,false,AU,v1.3
CUST-000044,customer44@company.com,Alice,Chen,2023-01-23,consent,true,,web,false,DE,v2.0
CUST-000045,customer45@gmail.com,Henry,Smith,2023-01-23,consent,true,,in-store,true,FR,v1.3
CUST-000046,customer46@outlook.com,David,Kim,2023-01-24,consent,true,,email,true,AU,v2.0
CUST-000047,customer47@company.com,Henry,Müller,2023-01-24,consent,true,,in-store,true,FR,v1.3
CUST-000048,customer48@gmail.com,Frank,Müller,2023-01-25,legitimate_interest,true,,web,true,AU,v1.2
CUST-000049,customer49@outlook.com,Grace,García,2023-01-25,consent,true,,email,false,FR,v2.0
CUST-000050,customer50@company.com,Grace,Chen,2019-03-15,consent,true,,in-store,false,US,v1.3
CUST-000051,customer51@gmail.com,Bob,Kim,2023-01-26,consent,true,,web,false,US,v1.2
CUST-000052,customer52@outlook.com,Carol,Chen,2023-01-27,consent,true,,in-store,true,US,v2.0
CUST-000053,missing@,David,Patel,2023-01-27,contract,true,,mobile,false,AU,v2.0
CUST-000054,customer54@gmail.com,David,Singh,2023-01-28,consent,true,,in-store,false,CA,v1.2
CUST-000055,customer55@outlook.com,Alice,Müller,2023-01-28,consent,true,,mobile,false,GB,v2.0
CUST-000056,customer56@company.com,Eva,García,2023-01-29,consent,false,,in-store,true,GB,v2.0
CUST-000057,customer57@gmail.com,Bob,Singh,2023-01-29,consent,true,,web,true,FR,v2.0
CUST-000058,customer58@outlook.com,Frank,Chen,2019-03-15,consent,true,,mobile,true,FR,v1.2
CUST-000059,customer59@company.com,Frank,Chen,2023-01-30,consent,true,,mobile,true,CA,v1.3
CUST-000060,customer60@gmail.com,Henry,Müller,2023-01-31,consent,false,,web,true,DE,v1.3
CUST-000061,customer61@outlook.com,Frank,Smith,2023-01-31,consent,true,,mobile,true,DE,v1.3
CUST-000062,customer62@company.com,Carol,Kim,2023-02-01,legitimate_interest,true,,mobile,false,US,v1.3
CUST-000063,customer63@gmail.com,Henry,Jones,2023-02-01,consent,true,,web,true,GB,v1.3
CUST-000064,customer64@outlook.com,David,Singh,2023-02-02,consent,true,,email,false,SG,v1.3
CUST-000065,customer65@company.com,Carol,Jones,2023-02-02,consent,false,,email,true,IN,v2.0
CUST-000066,customer66@gmail.com,Henry,Jones,2023-02-03,legitimate_interest,true,,in-store,false,CA,v1.3
CUST-000067,customer67@outlook.com,Carol,Jones,2019-03-15,consent,true,,email,true,CA,v1.2
CUST-000068,customer68@company.com,Alice,García,2023-02-04,consent,true,,web,true,IN,v1.2
CUST-000069,customer69@gmail.com,David,Müller,2023-02-04,consent,true,,web,false,GB,v2.0
CUST-000070,customer70@outlook.com,Grace,Singh,2023-02-05,consent,true,,mobile,false,CA,v2.0
CUST-000071,customer71@company.com,Bob,Kim,2023-02-05,legitimate_interest,true,,mobile,true,US,v1.3
CUST-000072,customer72@gmail.com,David,Patel,2023-02-06,consent,true,,web,true,DE,v1.2
CUST-000073,customer73@outlook.com,Bob,Smith,2023-02-06,legitimate_interest,false,,in-store,false,SG,v2.0
CUST-000074,customer74@company.com,Frank,Smith,2023-02-07,legitimate_interest,true,,email,false,CA,v1.2
CUST-000075,customer75@gmail.com,David,Patel,2023-02-07,consent,true,,email,true,FR,v1.3
,customer76@outlook.com,Carol,Singh,2023-02-08,contract,true,,web,true,US,v1.2
CUST-000077,customer77@company.com,Bob,Müller,2023-02-08,consent,true,,in-store,true,GB,v1.2
CUST-000078,customer78@gmail.com,Eva,Singh,2023-02-09,legitimate_interest,true,,web,false,IN,v2.0
CUST-000079,customer79@outlook.com,Frank,Smith,2023-02-09,consent,true,,mobile,true,IN,v1.3
CUST-000080,customer80@company.com,Henry,Smith,2023-02-10,consent,true,,mobile,true,GB,v1.2
CUST-000081,customer81@gmail.com,David,Chen,2023-02-10,consent,false,,in-store,false,SG,v1.3
CUST-000082,customer82@outlook.com,Bob,Smith,2023-02-11,consent,false,,mobile,true,GB,v1.2
CUST-000083,customer83@company.com,Grace,Smith,2023-02-11,consent,true,,web,true,CA,v1.3
CUST-000084,customer84@gmail.com,Frank,Kim,2023-02-12,contract,false,,mobile,true,AU,v1.3
CUST-000085,customer85@outlook.com,Frank,Singh,2023-02-12,consent,true,,mobile,true,AU,v1.3
CUST-000086,customer86@company.com,Alice,García,2023-02-13,consent,true,,web,true,GB,v2.0
CUST-000087,customer87@gmail.com,Carol,Smith,2023-02-13,consent,true,,web,true,IN,v1.2
CUST-000088,customer88@outlook.com,Grace,Chen,2023-02-14,consent,true,,web,false,AU,v1.2
CUST-000089,customer89@company.com,Grace,Chen,2023-02-14,consent,true,,mobile,false,IN,v1.3
CUST-000090,customer90@gmail.com,David,Chen,2023-02-15,contract,true,,mobile,true,CA,v2.0
CUST-000091,customer91@outlook.com,Grace,Singh,2023-02-15,consent,true,,mobile,true,US,v1.3
CUST-000092,customer92@company.com,Grace,Jones,2023-02-16,consent,true,,email,true,US,v1.2
CUST-000093,customer93@gmail.com,David,Singh,2023-02-16,consent,true,,web,false,CA,v2.0
CUST-000094,customer94@outlook.com,Henry,Patel,2023-02-17,consent,true,,in-store,true,AU,v1.3
CUST-000095,customer95@company.com,Carol,Chen,2023-02-17,consent,true,,in-store,false,US,v1.2
CUST-000096,customer96@gmail.com,Bob,Müller,2023-02-18,legitimate_interest,true,,web,true,SG,v1.3
CUST-000097,customer97@outlook.com,Frank,Chen,2023-02-18,consent,true,,mobile,false,US,v1.2
CUST-000098,customer98@company.com,Frank,García,2023-02-19,contract,true,,web,true,SG,v2.0
CUST-000099,customer99@gmail.com,Bob,García,2023-02-19,consent,true,,mobile,false,CA,v1.2
CUST-000100,customer100@outlook.com,Grace,Müller,2023-02-20,consent,true,,mobile,true,SG,v1.3
CUST-000101,customer101@company.com,Bob,Chen,2023-02-20,legitimate_interest,true,,web,false,SG,v1.3
CUST-000102,customer102@gmail.com,Grace,García,2023-02-21,contract,true,,web,true,IN,v1.2
CUST-000103,customer103@outlook.com,Alice,Jones,2023-02-21,legitimate_interest,true,,mobile,false,FR,v1.3
CUST-000104,customer104@company.com,Grace,Chen,2023-02-22,contract,true,,email,false,GB,v1.2
CUST-000105,customer105@gmail.com,Grace,Müller,2023-02-22,legitimate_interest,true,,mobile,false,DE,v1.3
CUST-000106,customer106@outlook.com,Grace,Patel,2023-02-23,legitimate_interest,true,,in-store,true,GB,v2.0
CUST-000107,customer107@company.com,Frank,Müller,2023-02-23,consent,true,,mobile,true,DE,v2.0
,customer108@gmail.com,David,Singh,2023-02-24,legitimate_interest,false,,in-store,true,FR,v1.2
,notanemail,Frank,Chen,2023-02-24,consent,true,,web,true,DE,v1.2
CUST-000110,customer110@company.com,Carol,Chen,2023-02-25,consent,true,,email,true,US,v1.3
CUST-000111,customer111@gmail.com,Grace,Kim,2023-02-25,consent,true,,in-store,false,IN,v2.0
CUST-000112,customer112@outlook.com,Eva,Chen,2023-02-26,contract,true,,web,false,FR,v2.0
CUST-000113,customer113@company.com,David,Kim,2023-02-26,contract,false,,in-store,true,AU,v1.2
CUST-000114,customer114@gmail.com,Eva,García,2023-02-27,consent,false,,mobile,false,AU,v1.2
CUST-000115,customer115@outlook.com,Eva,García,2023-02-27,legitimate_interest,true,,mobile,false,DE,v1.2
CUST-000116,customer116@company.com,Alice,Jones,2023-02-28,legitimate_interest,true,,email,false,IN,v1.2
CUST-000117,customer117@gmail.com,Bob,Patel,2023-02-28,consent,true,,email,true,AU,v1.3
CUST-000118,customer118@outlook.com,Bob,Smith,2023-03-01,consent,true,,web,true,CA,v2.0
CUST-000119,customer119@company.com,Alice,Jones,2023-03-01,consent,false,,in-store,false,SG,v1.2
CUST-000120,customer120@gmail.com,David,Kim,2023-03-02,legitimate_interest,true,,email,true,AU,v2.0
CUST-000121,customer121@outlook.com,Frank,Kim,2023-03-02,consent,true,,in-store,true,SG,v1.3
CUST-000122,customer122@company.com,Frank,Jones,2023-03-03,contract,true,,mobile,false,FR,v1.3
CUST-000123,customer123@gmail.com,David,Kim,2023-03-03,consent,true,,email,false,US,v2.0
CUST-000124,customer124@outlook.com,Grace,Müller,2023-03-04,contract,true,,mobile,false,DE,v1.2
CUST-000125,customer125@company.com,Eva,Jones,2023-03-04,consent,true,,in-store,false,DE,v2.0
CUST-000126,customer126@gmail.com,Alice,Patel,2023-03-05,legitimate_interest,true,,in-store,true,US,v1.2
CUST-000127,customer127@outlook.com,Grace,Patel,2023-03-05,consent,true,,in-store,true,GB,v1.3
CUST-000128,customer128@company.com,Eva,Müller,2019-03-15,consent,true,,email,true,FR,v2.0
CUST-000129,customer129@gmail.com,Frank,Patel,2023-03-06,legitimate_interest,false,,in-store,true,IN,v1.3
CUST-000130,customer130@outlook.com,Eva,García,2023-03-07,contract,false,,mobile,true,GB,v1.2
CUST-000131,customer131@company.com,Eva,Patel,2023-03-07,legitimate_interest,true,,mobile,false,IN,v1.3
CUST-000132,customer132@gmail.com,Alice,Kim,2023-03-08,consent,true,,in-store,true,IN,v1.3
CUST-000133,customer133@outlook.com,Eva,Kim,2023-03-08,consent,true,,web,false,GB,v1.2
CUST-000134,customer134@company.com,Grace,Jones,2023-03-09,consent,false,,email,true,US,v2.0
CUST-000135,customer135@gmail.com,Carol,García,2023-03-09,consent,true,,web,true,FR,v1.2
CUST-000136,customer136@outlook.com,Eva,Jones,2023-03-10,consent,true,,email,true,FR,v1.3
CUST-000137,customer137@company.com,Alice,Patel,2023-03-10,legitimate_interest,true,,mobile,true,DE,v1.3
CUST-000138,customer138@gmail.com,Carol,Chen,2023-03-11,legitimate_interest,true,,mobile,false,AU,v1.2
CUST-000139,customer139@outlook.com,David,Singh,2023-03-11,legitimate_interest,true,,mobile,true,SG,v2.0
CUST-000140,customer140@company.com,Henry,García,2023-03-12,legitimate_interest,true,,mobile,true,FR,v1.3
CUST-000141,customer141@gmail.com,Bob,Singh,2023-03-12,legitimate_interest,true,,mobile,false,US,v1.2
CUST-000142,customer142@outlook.com,Carol,Chen,2023-03-13,consent,true,,mobile,true,SG,v1.3
CUST-000143,customer143@company.com,David,Kim,2023-03-13,consent,true,,email,true,US,v1.3
CUST-000144,customer144@gmail.com,Henry,Chen,2023-03-14,consent,true,,in-store,true,US,v1.3
CUST-000145,customer145@outlook.com,Grace,Patel,2023-03-14,legitimate_interest,true,,email,true,DE,v2.0
CUST-000146,customer146@company.com,Alice,Kim,2023-03-15,consent,true,,email,false,CA,v1.3
CUST-000147,customer147@gmail.com,Bob,Müller,2023-03-15,consent,true,,in-store,true,US,v2.0
